"campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,CTR,Conversion_rate,ROAS,Cost_per_Conversion,Campaign_Profit"
"548299,New User Discount,2024-11-05,Premium,App,3130,163,78,1431.85,4777.75,3.6,5.207667731629393,47.85276073619632,3.3367671194608377,18.35705128205128,3345.9"
"390914,Weekend Special,2024-11-05,Inactive,App,3925,494,45,4506.34,6238.11,2.98,12.585987261146498,9.109311740890687,1.384296346924555,100.1408888888889,1731.7699999999995"
"834385,Festival Offer,2024-11-05,Inactive,Email,7012,370,78,4524.23,2621.0,2.95,5.276668568168853,21.08108108108108,0.5793251006248578,58.00294871794871,-1903.2299999999996"
"241523,Flash Sale,2024-11-05,Inactive,Sms,1115,579,86,3622.79,2955.0,2.84,51.92825112107623,14.853195164075995,0.8156696910392267,42.12546511627907,-667.79"
"595111,Membership Drive,2024-11-05,New Users,Email,7172,795,54,2888.99,8951.81,2.22,11.084774121583937,6.7924528301886795,3.098595010713087,53.49981481481481,6062.82"
"176344,Category Promotion,2024-11-05,Inactive,App,4333,421,40,2714.78,6697.88,3.89,9.716132010154627,9.501187648456057,2.467190711586206,67.8695,3983.1"
"875646,App Push Notification,2024-11-05,Premium,Email,4752,937,21,3584.76,9152.99,2.14,19.718013468013467,2.2411953041622197,2.553306218547406,170.70285714285714,5568.23"
"5516,Email Campaign,2024-11-05,Premium,Social Media,1559,418,68,1457.88,2156.09,3.92,26.8120590121873,16.267942583732058,1.4789214475814196,21.439411764705884,698.21"
"989534,Referral Program,2024-11-05,New Users,Sms,3838,911,45,4808.64,8074.17,1.7,23.736321000521105,4.939626783754116,1.6790963765222597,106.85866666666668,3265.5299999999997"
"243346,New User Discount,2024-11-04,Inactive,Sms,6289,834,14,3746.35,4474.02,2.56,13.261249801240261,1.6786570743405276,1.1942343881377875,267.5964285714286,727.6700000000005"
"775791,Weekend Special,2024-11-04,Inactive,App,1068,496,87,1043.7,9535.85,3.15,46.441947565543074,17.540322580645164,9.136581393120629,11.996551724137932,8492.15"
"178345,Festival Offer,2024-11-04,Inactive,Social Media,4229,914,84,1370.63,3521.16,1.65,21.61267439110901,9.190371991247265,2.5690084121900143,16.31702380952381,2150.5299999999997"
"60966,Flash Sale,2024-11-04,Inactive,App,2712,161,89,4870.23,2626.78,2.03,5.936578171091445,55.27950310559007,0.5393544042067829,54.72168539325842,-2243.4499999999994"
"209071,Membership Drive,2024-11-04,New Users,Social Media,9365,753,53,3817.01,7072.56,1.55,8.04057661505606,7.03851261620186,1.8529058084731242,72.01905660377359,3255.55"
"712164,Category Promotion,2024-11-04,All,App,4813,321,88,2512.51,6494.09,2.55,6.669436941616455,27.41433021806853,2.584702150439202,28.551250000000003,3981.58"
"301304,App Push Notification,2024-11-04,Inactive,Social Media,8840,466,24,1776.92,5356.59,3.17,5.271493212669683,5.150214592274678,3.0145363888075996,74.03833333333334,3579.67"
"755362,Email Campaign,2024-11-04,Inactive,App,7409,949,99,1599.21,7907.75,1.93,12.808746119584288,10.432033719704952,4.94478523771112,16.153636363636362,6308.54"
"362255,Referral Program,2024-11-04,Premium,Sms,1997,599,92,3328.47,2278.39,3.09,29.994992488733104,15.358931552587645,0.6845157084185827,36.179021739130434,-1050.08"
"538453,New User Discount,2024-11-03,New Users,Social Media,9594,692,58,3712.46,2591.79,3.01,7.212841359182823,8.38150289017341,0.69813277449454,64.00793103448277,-1120.67"
"146888,Weekend Special,2024-11-03,New Users,Email,8974,799,64,4907.38,9623.97,2.36,8.90349899710274,8.010012515644556,1.9611218206048846,76.6778125,4716.589999999999"
"36202,Festival Offer,2024-11-03,New Users,Email,7102,858,53,1454.23,8523.27,2.87,12.081103914390312,6.177156177156177,5.861019233546275,27.438301886792452,7069.040000000001"
"232494,Flash Sale,2024-11-03,All,Social Media,9487,109,54,1364.19,5855.87,1.61,1.1489406556340256,49.54128440366973,4.292561886540731,25.262777777777778,4491.68"
"757108,Membership Drive,2024-11-03,Inactive,Email,5922,258,41,1815.23,9798.33,2.73,4.356636271529888,15.891472868217054,5.397844901197093,44.27390243902439,7983.1"
"294530,Category Promotion,2024-11-03,All,App,4630,860,76,4337.91,3326.76,1.86,18.57451403887689,8.837209302325581,0.7669038776738107,57.077763157894736,-1011.1499999999996"
"627085,App Push Notification,2024-11-03,All,Email,6291,130,66,4644.01,2649.48,3.23,2.0664441265299636,50.76923076923077,0.5705155673652726,70.36378787878789,-1994.5300000000002"
"954798,Email Campaign,2024-11-03,All,Email,6347,737,100,2352.91,5816.29,3.0,11.611785095320624,13.568521031207597,2.4719560034170454,23.5291,3463.38"
"675313,Referral Program,2024-11-03,New Users,Email,2465,560,60,4857.36,2528.08,1.62,22.718052738336713,10.714285714285714,0.5204637910305187,80.95599999999999,-2329.2799999999997"
"588949,New User Discount,2024-11-02,Premium,App,7171,211,22,3120.88,8989.36,3.51,2.9424069167480127,10.42654028436019,2.8803927097485325,141.85818181818183,5868.4800000000005"
"137874,Weekend Special,2024-11-02,All,App,6082,497,59,1897.04,3654.1,1.95,8.17165406116409,11.87122736418511,1.926211360856914,32.15322033898305,1757.06"
"674904,Festival Offer,2024-11-02,New Users,Social Media,3297,613,19,3819.45,2007.51,3.75,18.59265999393388,3.0995106035889073,0.5256018536700311,201.0236842105263,-1811.9399999999998"
"783220,Flash Sale,2024-11-02,Inactive,App,5550,633,12,1947.14,3460.9,2.75,11.405405405405405,1.8957345971563981,1.7774274063498259,162.26166666666668,1513.76"
"877083,Membership Drive,2024-11-02,Premium,Sms,3446,155,51,3415.84,8018.45,3.18,4.4979686593151476,32.903225806451616,2.3474313785189,66.97725490196079,4602.61"
"228966,Category Promotion,2024-11-02,Premium,Sms,8998,632,55,4905.7,8801.61,3.79,7.023783062902868,8.702531645569621,1.794159854862711,89.19454545454545,3895.9100000000008"
"531307,App Push Notification,2024-11-02,All,App,7562,975,73,2298.76,7097.94,1.8,12.893414440624174,7.487179487179488,3.0877255563869213,31.489863013698635,4799.179999999999"
"51098,Email Campaign,2024-11-02,New Users,Sms,1423,802,40,1818.73,4672.26,3.83,56.35980323260716,4.987531172069826,2.568968456010513,45.46825,2853.53"
"501568,Referral Program,2024-11-02,Premium,Email,7215,508,25,2202.62,3845.1,1.84,7.040887040887041,4.921259842519685,1.7456937646984048,88.1048,1642.48"
"703072,New User Discount,2024-11-01,All,App,4360,724,38,1905.02,4231.84,3.01,16.605504587155963,5.248618784530387,2.221414998267735,50.1321052631579,2326.82"
"978279,Weekend Special,2024-11-01,All,Email,9713,686,94,2062.29,9160.3,3.06,7.062699474930506,13.702623906705538,4.441809832758729,21.939255319148934,7098.009999999999"
"350042,Festival Offer,2024-11-01,All,Email,5538,362,51,2486.88,9687.96,2.2,6.53665583243048,14.088397790055248,3.895628257093225,48.762352941176474,7201.079999999999"
"675128,Flash Sale,2024-11-01,New Users,App,8141,828,37,4123.86,3539.73,2.47,10.170740695246284,4.4685990338164245,0.8583535813533922,111.45567567567566,-584.1299999999997"
"439725,Membership Drive,2024-11-01,Inactive,Sms,4249,945,87,1330.62,3115.55,3.59,22.240527182866558,9.206349206349207,2.3414273045647898,15.294482758620688,1784.9300000000003"
