"product_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,Discount,Discount_Percentage,Price_Category"
"153019,Onions,Fruits & Vegetables,Aurora LLC,947.95,1263.93,25.0,3,13,88,315.98,24.999802204235994,Premium"
"11422,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,127.16,169.55,25.0,3,20,65,42.390000000000015,25.001474491300506,Low"
"669378,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25.0,3,23,70,70.71000000000004,24.999116139296458,Low"
"848226,Tomatoes,Fruits & Vegetables,Barad and Sons,209.59,279.45,25.0,3,10,51,69.85999999999999,24.99910538557881,Low"
"890623,Onions,Fruits & Vegetables,""Sangha, Nagar and Varty"",354.52,472.69,25.0,3,27,55,118.17000000000002,24.999471112145386,Medium"
"965755,Bananas,Fruits & Vegetables,""Doshi, Sarraf and Sama"",532.57,710.09,25.0,3,21,91,177.51999999999998,24.999647931952286,High"
"222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22,1158.96,25.0,3,28,88,289.74,25.0,Premium"
"516376,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43,1169.91,25.0,3,21,71,292.48000000000013,25.000213691651503,Premium"
"39154,Mangoes,Fruits & Vegetables,""Suresh, Bose and Bajwa"",946.86,1262.48,25.0,3,21,84,315.62,25.0,Premium"
"34186,Mangoes,Fruits & Vegetables,Mandal-Kar,925.65,1234.2,25.0,3,27,74,308.55000000000007,25.000000000000007,Premium"
"196719,Bananas,Fruits & Vegetables,Yogi Group,217.5,290.0,25.0,3,15,91,72.5,25.0,Low"
"478531,Carrots,Fruits & Vegetables,Uppal Group,825.46,1100.61,25.0,3,24,90,275.14999999999986,24.99977285323592,Premium"
"812607,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3,11,63,138.88,24.999549979299047,Medium"
"818990,Tomatoes,Fruits & Vegetables,Dugar Group,163.55,218.07,25.0,3,22,92,54.51999999999998,25.001146420874026,Low"
"14145,Spinach,Fruits & Vegetables,""Thakur, Shah and Pingle"",630.84,841.12,25.0,3,14,53,210.27999999999997,24.999999999999996,High"
"349294,Onions,Fruits & Vegetables,Ganesan Ltd,934.75,1246.33,25.0,3,25,70,311.5799999999999,24.9997994110709,Premium"
"847349,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,781.08,1041.44,25.0,3,26,69,260.36,25.0,Premium"
"871592,Carrots,Fruits & Vegetables,""Shankar, Nadkarni and Kumer"",870.29,1160.39,25.0,3,25,50,290.10000000000014,25.00021544480736,Premium"
"284460,Potatoes,Fruits & Vegetables,""Ramakrishnan, Anand and Khare"",505.95,674.6,25.0,3,21,85,168.65000000000003,25.000000000000007,High"
"473929,Carrots,Fruits & Vegetables,""Bhardwaj, Bhatia and Deshmukh"",440.19,586.92,25.0,3,19,70,146.72999999999996,24.999999999999993,Medium"
"77308,Onions,Fruits & Vegetables,Ratta-Sagar,223.27,297.69,25.0,3,29,91,74.41999999999999,24.999160200208266,Low"
"654297,Potatoes,Fruits & Vegetables,Chandran-Dass,13.25,17.67,25.0,3,20,86,4.420000000000002,25.014148273910592,Low"
"70969,Carrots,Fruits & Vegetables,Mohan Group,631.7,842.27,25.0,3,25,96,210.56999999999994,25.00029681693518,High"
"552883,Potatoes,Fruits & Vegetables,""Balan, Patel and Mall"",888.16,1184.21,25.0,3,18,94,296.05000000000007,24.999788888795067,Premium"
